Timestamp,Event,Key_Code
17196770060000000,1,84
17196770060001250,0,84
17196770060001550,1,72
17196770060002800,0,72
17196770060003100,1,69
17196770060004350,0,69
17196770060004650,1,32
17196770060005900,0,32
17196770060006200,1,84
17196770060007450,0,84
17196770060007750,1,72
17196770060009000,0,72
17196770060009300,1,69
17196770060010550,0,69
17196770060010850,1,32
17196770060012100,0,32
17196770060012400,1,66
17196770060013650,0,66
17196770060013950,1,69
17196770060015200,0,69
17196770060015500,1,78
17196770060016750,0,78
17196770060017050,1,65
17196770060018300,0,65
17196770060018600,1,83
17196770060019850,0,83
17196770060020150,1,79
17196770060021400,0,79
17196770060021700,1,32
17196770060022950,0,32
17196770060023250,1,70
17196770060024500,0,70
17196770060024800,1,85
17196770060026050,0,85
17196770060026350,1,76
17196770060027600,0,76
17196770060027900,1,76
17196770060029150,0,76
17196770060029450,1,32
17196770060030700,0,32
17196770060031000,1,65
17196770060032250,0,65
17196770060032550,1,78
17196770060033800,0,78
17196770060034100,1,68
17196770060035350,0,68
17196770060035650,1,32
17196770060036900,0,32
17196770060037200,1,84
17196770060038450,0,84
17196770060038750,1,72
17196770060040000,0,72
17196770060040300,1,69
17196770060041550,0,69
17196770060041850,1,32
17196770060043100,0,32
17196770060043400,1,77
17196770060044650,0,77
17196770060044950,1,65
17196770060046200,0,65
17196770060046500,1,89
17196770060047750,0,89
17196770060048050,1,32
17196770060049300,0,32
17196770060049600,1,87
17196770060050850,0,87
17196770060051150,1,79
17196770060052400,0,79
17196770060052700,1,82
17196770060053950,0,82
17196770060054250,1,76
17196770060055500,0,76
17196770060055800,1,68
17196770060057050,0,68
17196770060057350,1,46
17196770060058600,0,46
17196770060058900,1,13
17196770060060150,0,13
17196770060060450,1,84
17196770060061700,0,84
17196770060062000,1,72
17196770060063250,0,72
17196770060063550,1,69
17196770060064800,0,69
17196770060065100,1,32
17196770060066350,0,32
17196770060066650,1,81
17196770060067900,0,81
17196770060068200,1,85
17196770060069450,0,85
17196770060069750,1,73
17196770060071000,0,73
17196770060071300,1,67
17196770060072550,0,67
17196770060072850,1,75
17196770060074100,0,75
17196770060074400,1,76
17196770060075650,0,76
17196770060075950,1,89
17196770060077200,0,89
17196770060077500,1,46
17196770060078750,0,46
17196770060079050,1,13
17196770060080300,0,13
17196770060080600,1,66
17196770060081850,0,66
17196770060082150,1,82
17196770060083400,0,82
17196770060083700,1,79
17196770060084950,0,79
17196770060085250,1,87
17196770060086500,0,87
17196770060086800,1,78
