Timestamp,Event,Key_Code
17196770120000000,1,73
17196770120001050,0,73
17196770120001200,1,16
17196770120001300,1,57
17196770120002000,0,57
17196770120002150,0,16
17196770120002300,1,187
17196770120003400,0,187
17196770120003500,1,91
17196770120004550,0,91
17196770120004700,1,93
17196770120005750,0,93
17196770120005900,1,32
17196770120007000,0,32
17196770120007150,1,123
17196770120008200,0,123
17196770120008350,1,13
17196770120009450,0,13
17196770120009600,1,17
17196770120009700,1,67
17196770120010500,0,67
17196770120010600,0,17
17196770120010800,1,13
17196770120011900,0,13
17196770120012050,1,80
17196770120013100,0,80
17196770120013250,1,82
17196770120014350,0,82
17196770120014500,1,73
17196770120015550,0,73
17196770120015700,1,78
17196770120016750,0,78
17196770120016900,1,84
17196770120017950,0,84
17196770120018100,1,16
17196770120018250,1,56
17196770120019200,0,56
17196770120019350,0,16
17196770120019500,1,74
17196770120020600,0,74
17196770120020750,1,70
17196770120021800,0,70
17196770120021950,1,32
17196770120023050,0,32
17196770120023200,1,83
17196770120024250,0,83
17196770120024400,1,190
17196770120025450,0,190
17196770120025600,1,13
17196770120026650,0,13
17196770120026800,1,80
17196770120027850,0,80
17196770120028000,1,16
17196770120028150,1,219
17196770120029000,0,219
17196770120029100,0,16
17196770120029250,1,16
17196770120029350,1,221
17196770120030200,0,221
17196770120030300,0,16
17196770120030450,1,13
17196770120031500,0,13
17196770120031650,1,67
17196770120032700,0,67
17196770120032850,1,76
17196770120033900,0,76
17196770120034050,1,79
17196770120035100,0,79
17196770120035250,1,71
17196770120036300,0,71
17196770120036450,1,16
17196770120036600,1,186
17196770120037300,0,186
17196770120037400,0,16
17196770120037550,1,13
17196770120038600,0,13
17196770120038750,1,17
17196770120038850,1,76
17196770120039800,0,76
17196770120039900,0,17
17196770120040050,1,13
17196770120041100,0,13
17196770120041250,1,16
17196770120041350,1,220
17196770120042200,0,220
17196770120042300,0,16
17196770120042450,1,32
17196770120043500,0,32
17196770120043650,1,65
17196770120044700,0,65
17196770120044850,1,80
17196770120045900,0,80
17196770120046050,1,80
17196770120047100,0,80
17196770120047250,1,32
17196770120048300,0,32
17196770120048450,1,82
17196770120049500,0,82
17196770120049650,1,69
17196770120050700,0,69
17196770120050850,1,84
17196770120051900,0,84
17196770120052050,1,85
17196770120053100,0,85
17196770120053250,1,78
17196770120054300,0,78
17196770120054450,1,32
17196770120055500,0,32
17196770120055650,1,189
17196770120056700,0,189
17196770120056850,1,13
17196770120057900,0,13
17196770120058050,1,80
17196770120059100,0,80
17196770120059250,1,16
17196770120059350,1,220
17196770120060200,0,220
17196770120060300,0,16
17196770120060450,1,13
17196770120061500,0,13
17196770120061650,1,87
17196770120062700,0,87
17196770120062850,1,72
17196770120063900,0,72
17196770120064050,1,73
17196770120065100,0,73
17196770120065250,1,76
